mrscid,mrsname,newsid,newstitle,bucketgrpids,bucketids,influencerids,optype,timestamp,logdate
empty,空的,68747470733A2F2F6368696E6573652E656E6761646765742E636F6D2F323031392F30382F33302F6D6963726F736F66742D64652D656D70686173697A65732D7461626C65742D6D6F64652F,新的 Windows 10 beta 版不會自動切換平板模式了,['empty'],['empty'],['000001579D7E5CCB000000036375706F795F72656C65617365494E464C55'],empty,1567172767288,2019-08-30
empty,空的,68747470733A2F2F746563686E6577732E74772F323031392F30382F32392F6875617765692D6D6174652D33302D63616E2D6E6F742D6C61756E63682D776974682D6F6666696369616C2D676F6F676C652D617070732D736179732D676F6F676C652F3F75746D5F736F757263653D66625F746E2675746D5F6D656469756D3D66616365626F6F6B,Google 證實華為 Mate 30 系列無法搭載 Google 應用程式與服務 | TechNews 科技新報,"['3CExpert_tw', 'tech_tw']",[],"['00000152A69670E3000000056261636B656E645F6C6F63616C494E464C55', '000001579E025C270000003D6375706F795F72656C65617365494E464C55']",empty,1567145330716,2019-08-30
empty,空的,68747470733A2F2F746563686E6577732E74772F323031392F30382F33302F636F72652D69392D393930306B2D616D642D72797A656E2D333030302D636F6D70617269736F6E2F3F75746D5F736F757263653D66625F746E2675746D5F6D656469756D3D66616365626F6F6B,AMD Ryzen 3000 跑分第一？Intel 說明：AMD 做得不賴，但跑分軟體無法反映 Core i9-9900K 真實遊戲情況 | TechNews 科技新報,"['3CExpert_tw', 'tech_tw']",[],['000001579E025C270000003D6375706F795F72656C65617365494E464C55'],empty,1567170193400,2019-08-30
empty,空的,68747470733A2F2F756E776972652E686B2F323031392F30382F33302F6875617765692D6D6174652D33302D6E6F2D676F6F676C652D617070732D6C61756E63682D706C61792D73746F72652D7472756D702D77686974652D686F7573652D62616E2F6D6F62696C652D70686F6E652F3F75746D5F736F757263653D666565646275726E65722675746D5F6D656469756D3D666565642675746D5F63616D706169676E3D466565642533412B756E776972656C6966652B253238554E574952452E484B2B254536254235253831254535253842253935254537254137253931254536253841253830254537253934253946254536254234254242253239,連 Play Store 都欠奉！華為 Mate 30 將無法預載 Google 服務 | 香港 UNWIRE.HK 玩生活．樂科技,"['3CExpert_tw', 'tech_tw']",['mobile_tw'],['000001579DA35D79000000146375706F795F72656C65617365494E464C55'],empty,1567131492158,2019-08-30
empty,空的,68747470733A2F2F7777772E626E6578742E636F6D2E74772F61727469636C652F35343537312F656C6F6E2D6D75736B2D6A61636B2D6D612D7368616E676861692D61692D646562617465,馬雲、馬斯克世紀對談！從AI未來聊到太空殖民，雙馬激盪怎樣火花？｜數位時代,['empty'],['empty'],"['00000153174BB0C70000000C6261636B656E645F6C6F63616C494E464C55', '000001579DAF67DF0000001D6375706F795F72656C65617365494E464C55']",empty,1567151626202,2019-08-30
empty,空的,68747470733A2F2F7777772E6974686F6D652E636F6D2E74772F6E6577732F313332373336,超難用報稅系統UI如何大改造，幕後推手現身揭露關鍵 | iThome,['design_tw'],['uiux_tw'],['000001579E138131000000476375706F795F72656C65617365494E464C55'],empty,1567145361035,2019-08-30
empty,空的,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30382D33302D32,使用Python進行機器學習的假設檢驗（附鏈接&代碼） | 機器之心,['tech_tw'],['robot_tw'],['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],empty,1567145591641,2019-08-30
empty,空的,68747470733A2F2F7777772E73746F726D2E6D672F6C6966657374796C652F31363531313537,不寫作業、討厭上學！該如何面對「拒學小孩」？心理師：別隨之起舞，但要陪他一起經歷失落-風傳媒,['empty'],['empty'],['000001579DB7CFCC000000256375706F795F72656C65617365494E464C55'],empty,1567145764875,2019-08-30
empty,空的,68747470733A2F2F746563686E6577732E74772F323031392F30382F33302F6F70656E737069656C2D612D6672616D65776F726B2D666F722D7265696E666F7263656D656E742D6C6561726E696E672D696E2D67616D65732F3F75746D5F736F757263653D66625F746E2675746D5F6D656469756D3D66616365626F6F6B,DeepMind 開源自己的「殺手鐧」了 | TechNews 科技新報,"['3CExpert_tw', 'tech_tw']",[],['000001579E025C270000003D6375706F795F72656C65617365494E464C55'],empty,1567250377728,2019-08-31
empty,空的,68747470733A2F2F6D616D61636C75622E636F6D2F6C6561726E2F2565352538662561332565372562642561392565372539342562372565662562632539612565382538302538312565352538352561632565352538302539312565662562632538312565372562352539302565352561392539612565392539642539652565342562662561652565362538382539302565362561642561332565362539652539632565662562632538632565362539382561662565342562662561652565382561312538632565372539612538342565392539362538622565352561372538622F,口罩男：夫妻最怕什麼？不是吵架也不是冷戰，最怕的是「習慣」 – 媽媽經｜專屬於媽媽的網站,"['Babyhome_tw', 'WhiteCollar_tw', 'business_tw', 'life_tw']","['career_tw', 'parenting_tw']",['00000158049B8128000000096375706F795F72656C65617365494E464C55'],empty,1567326814588,2019-09-01
